province,district,municipality,type,website,email,phone

कोशी प्रदेश,भोजपुर,भोजपुर नगरपालिका,Municipality,http://bhojpurmun.gov.np,info@bhojpurmun.gov.np,029-420102
कोशी प्रदेश,भोजपुर,षडानन्द नगरपालिका,Municipality,http://shadanandamun.gov.np,shadanandanagarpalika@gmail.com,029-421125
कोशी प्रदेश,धनकुटा,धनकुटा नगरपालिका,Municipality,http://dhankutamun.gov.np,mundkt@gmail.com,026-520126
कोशी प्रदेश,धनकुटा,पाख्रिवास नगरपालिका,Municipality,http://pakhribasmun.gov.np,pakhribas.nagarpalika@gmail.com,026-405152
कोशी प्रदेश,धनकुटा,महालक्ष्मी नगरपालिका,Municipality,http://mahalaxmimundhankuta.gov.np,mahalaxmimunjitpur@gmail.com,026-419000
कोशी प्रदेश,सुनसरी,इनरुवा नगरपालिका,Municipality,http://inaruwamun.gov.np,info@inaruwamun.gov.np,025-565077
कोशी प्रदेश,सुनसरी,दुहवी नगरपालिका,Municipality,http://duhabimun.gov.np,info@duhabimun.gov.np,025-540024
कोशी प्रदेश,सुनसरी,बराहक्षेत्र नगरपालिका,Municipality,http://barahamun.gov.np,barahmun@gmail.com,025-551145
कोशी प्रदेश,सुनसरी,रामधुनी नगरपालिका,Municipality,http://ramdhunimun.gov.np,ramdhunibhasi@gmail.com,025-562566
कोशी प्रदेश,मोरङ,लेटाङ नगरपालिका,Municipality,http://letangmun.gov.np,letangmunicipality@gmail.com,021-560666
कोशी प्रदेश,मोरङ,सुन्दर हरैचा नगरपालिका,Municipality,http://sundarharaichamun.gov.np,sundarharaichamun@gmail.com,021-547727
कोशी प्रदेश,मोरङ,सुनवर्षी नगरपालिका,Municipality,http://sunawarshimun.gov.np,info@sunawarshimun.gov.np,021-433025
कोशी प्रदेश,मोरङ,रतुवामाई नगरपालिका,Municipality,http://ratuwamaimun.gov.np,ratuwamaimunicipalityinfo@gmail.com,021-414052
कोशी प्रदेश,मोरङ,रंगेली नगरपालिका,Municipality,http://rangelimun.gov.np,rangelimun@gmail.com,021-580674
कोशी प्रदेश,मोरङ,बेलवारी नगरपालिका,Municipality,http://belbarimun.gov.np,info@belbarimun.gov.np,021-434213
कोशी प्रदेश,मोरङ,पथरी शनिश्चरे नगरपालिका,Municipality,http://patharishanishcharemun.gov.np,patharishanishcharemun@gmail.com,"021-556113,021-555212"
कोशी प्रदेश,मोरङ,उर्लाबारी नगरपालिका,Municipality,http://urlabarimun.gov.np,info@urlabarimun.gov.np,021540459
कोशी प्रदेश,सोलुखुम्बु,सोलुदुधकुण्ड नगरपालिका,Municipality,http://solududhkundamun.gov.np,info@solududhkundamun.gov.np,038-520264
कोशी प्रदेश,खोटाङ,दिक्तेल रुपाकोट मझुवागढी नगरपालिका,Municipality,http://rupakotmajhuwagadhimun.gov.np,rupakotmun@gmail.com,036-420683
कोशी प्रदेश,खोटाङ,हलेसी तुवाचुङ नगरपालिका,Municipality,http://halesituwachungmun.gov.np,tuwachung.mun@gmail.com,9851009879
कोशी प्रदेश,उदयपुर,कटारी नगरपालिका,Municipality,http://katarimun.gov.np,info@katarimun.gov.np,035-450039
कोशी प्रदेश,उदयपुर,चौदण्डीगढी नगरपालिका,Municipality,http://chaudandigadhimun.gov.np,chaudandigadhimun@gmail.com,"035-440247,035-440246"
कोशी प्रदेश,उदयपुर,त्रियुगा नगरपालिका,Municipality,http://triyugamun.gov.np,triyuga.mun@gmail.com,035-420186
कोशी प्रदेश,उदयपुर,वेलका नगरपालिका,Municipality,http://belakamun.gov.np,belakamun@gmail.com,"9852835479,9851176291"
कोशी प्रदेश,ओखलढुंगा,सिद्धिचरण नगरपालिका,Municipality,http://siddhicharanmun.gov.np,info@siddhicharanmun.gov.np,037-520213
कोशी प्रदेश,ताप्लेजुङ,आठराई त्रिवेणी गाउँपालिका,Rural Municipality,http://aathraitribenimun.gov.np,aathrai.tribenimun@gmail.com,9852660960
कोशी प्रदेश,ताप्लेजुङ,फक्ताङलुङ गाउँपालिका,Rural Municipality,http://phaktanglungmun.gov.np,phaktanglungmun@gmail.com,021-696491
कोशी प्रदेश,ताप्लेजुङ,मिक्वाखोला गाउँपालिका,Rural Municipality,http://mikwakholamun.gov.np,info@mikwakholamun.gov.np,9742691943
कोशी प्रदेश,ताप्लेजुङ,मेरिङदेन गाउँपालिका,Rural Municipality,http://meringdenmun.gov.np,meringden@gmail.com,9852660822
कोशी प्रदेश,ताप्लेजुङ,मैवाखोला गाउँपालिका,Rural Municipality,http://maiwakholamun.gov.np,info@maiwakholamun.gov.np,9852660937
कोशी प्रदेश,ताप्लेजुङ,पाथिभरा याङ्वरक गाउँपालिका,Rural Municipality,http://pathivarayangwarakmun.gov.np,pathivarayang@gmail.com,9852660460
कोशी प्रदेश,ताप्लेजुङ,सिदिङ्वा गाउँपालिका,Rursal Municipality,http://sidingbamun.gov.np,sidingbarmtpj@gmail.com,9852660153
कोशी प्रदेश,ताप्लेजुङ,सिरीजङ्घा गाउँपालिका,Rural Municipality,http://sirijanghamun.gov.np,sirijangharuralmunicipality@gmail.com,9861991144
कोशी प्रदेश,पाँचथर,कुम्मायक गाउँपालिका,Rural Municipality,http://kummayakmun.gov.np,info@kummayakmun.gov.np,024413061
कोशी प्रदेश,पाँचथर,तुम्वेवा गाउँपालिका,Rural Municipality,http://tumwewamun.gov.np,info@tumwewamun.gov.np,9851318144
कोशी प्रदेश,पाँचथर,फालेलुङ गाउँपालिका,Rural Municipality,http://phalelungmun.gov.np,phalelunggaunpalika@gmail.com,021696490
कोशी प्रदेश,पाँचथर,फाल्गुनन्द गाउँपालिका,Rural Municipality,http://phalgunandamun.gov.np,info@phalgunandamun.gov.np,9852684384
